NO POLISI,NOPOL LAMA,OPD,NAMA PEMILIK,JENIS_KB,MEREK_KB,TYPE_KB,TAHUN_KB,NOKA,NOSIN,AKHIR_PKB,AKHIR_STNK,LOKASI,STATUS_KB,STATUS_TAGIHAN,KETERANGAN
KTV  2559,KTVP 3871,DINAS KESEHATAN,DINAS KESEHATAN KAB. PPU,R,HONDA,NF 11B1D MT,2009,MH1JBC1199K183093,JBC1E-1184330,8/26/2026,8/26/2029,DINAS KESEHATAN PKM PENAJAM,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2560,KTVP 3849,RSUD RATU AJI PUTRI BOTUNG,DINAS KESEHATAN KAB. PPU,R,HONDA,NF 11B1D M/T,2009,MH1JBC1129K182139,JBC1E-1176623,8/26/2026,8/26/2029,RSUD,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV  2561,KTVP 3268,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA PP,R,HONDA,NF12A1CF M/T,2014,MH1JBG116EK169900,JBG1E1169536,7/11/2026,7/11/2029,DISDIKPORA,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV  2562,KTVP 3748,DINAS KESEHATAN,DINAS KESEHATAN KAB. PPU,R,HONDA,NF100 SE,2007,MH1HB71187K198672,HB71E-1196207,2/1/2026,2/1/2028,DINAS KESEHATAN,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  2563,KTVP 3866,DINAS KESEHATAN,DINAS KESEHATAN KAB. PPU,R,HONDA,NF100 SE,2007,MH1HB71197K197709,HB71E-1177697,2/1/2027,2/1/2028,DINAS KESEHATAN PKM WARU,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2564,KTVP 3872,DINAS KESEHATAN,DINAS KESEHATAN KAB. PPU,R,HONDA,NF 11B1D M/T,2009,MH1JBC1119K183038,JBC1E-1184416,8/26/2026,8/26/2029,DINAS KESEHATAN PKM PENAJAM,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2566,KTVP 3846,RSUD RATU AJI PUTRI BOTUNG,DINAS KESEHATAN KAB. PPU,R,HONDA,NF 11B1D MT,2009,MH1JBC11X9K180753,JBC1E-1184117,8/26/2026,8/26/2029,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2568,KTVP 3864,RSUD RATU AJI PUTRI BOTUNG,DINAS KESEHATAN KAB. PPU,R,HONDA,NF 11B1D MT,2009,MH1JBC1179K177809,JBC1E-1181114,8/26/2026,8/26/2029,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2569,KTVP 3807,DINAS KESEHATAN,DINAS KESEHATAN,R,HONDA,NF100 SE,2008,MH1HB71148K652563,HB71E-1643072,5/12/2027,5/12/2029,DINAS KESEHATAN PKM PENAJAM,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2570,KTVP 3797,DINAS KESEHATAN,DINAS KESEHATAN,R,HONDA,NF100 SE,2008,MH1HB71128K555555,HB71E-1551893,4/23/2027,4/23/2029,DINAS KESEHATAN PKM SOTEK,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV  2571,KTVP 3193,KELURAHAN PEJALA,KELURAHAN PEJALA,R,YAMAHA,1FD,2013,MH31FD001DJ036389,1FD036394,12/30/2026,12/30/2028,KELURAHAN PEJALA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2573,KTVP 3870,DINAS KESEHATAN,DINAS KESEHATAN KAB. PPU,R,HONDA,NF 11B1D M/T,2009,MH1JBC1119K180771,JBC1E-1184263,8/26/2026,8/26/2029,DINAS KESEHATAN PKM PENAJAM,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2574,KTVP 3227,SEKRETARIAT DAERAH,SEKRETARIAT DAERAH KAB. PPU,R,YAMAHA,1 PA,2014,MH31PA004EK474634,1PA-474887,4/30/2027,4/30/2029,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2575,KTVP 3253,DINAS PERHUBUNGAN,KANTOR DISHUBBUDPAR KAB.PPU,R,YAMAHA,1 DY,2014,MH31DY008EJ263788,1DY263910,6/9/2026,6/9/2029,DINAS PERHUBUNGAN,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV  2667,,DINAS KESEHATAN,DINAS KESEHATAN,R,HONDA,NF100 SE,2008,MH1HB71188K697232,HB71E - 1684814,5/12/2025,5/12/2029,DINAS KESEHATAN PKM BABULU,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3540,KTV- 3178,DINAS KESEHATAN,DINAS KESEHATAN,R,YAMAHA,5D9 (VEGA ZR),2012,MH35D9204CJ610446,5D9-1610372,11/23/2025,11/23/2027,DINAS KESEHATAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2578,KTVP 3254,DINAS PERHUBUNGAN,KANTOR DISHUBBUDPAR KAB.PPU,R,YAMAHA,1 DY,2014,MH31DY008EJ260285,1DY260307,6/9/2026,6/9/2029,DINAS PERHUBUNGAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2580,KTVP 3065,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DISDIKPORA,R,YAMAHA,55S (T135SEC),2013,MH355S004DK119539,55S119543,10/1/2026,10/1/2028,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2581,KTVP 3850,KELURAHAN PANTAI LANGO,KANTOR LURAH PANTAI LANGO,R,KAWASAKI,LX150C (KLX 150S),2013,MH4LX150CDKP63789,LX150CEP99521,1/11/2027,1/11/2028,KELURAHAN PANTAI LANGO,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV  2582,KTVP 3243,BADAN PENDAPATAN DAERAH,DINAS PENDAPATAN DAERAH KAB.PPU,R,HONDA,GL15C21A07 M/T,2014,MH1KC6119EK005861,KC61E1005955,5/20/2027,5/20/2029,BADAN PENDAPATAN DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2583,KTVP 3883,SATUAN POLISI PAMONG PRAJA,SATUAN POLISI PAMONG PRAJA,R,YAMAHA,1PA,2014,MH31PA002EK418792,1PA417724,4/8/2027,4/8/2029,SATPOL PP,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2584,KTVP 3894,DINAS SOSIAL,DISDUKCAPILNAKER,R,HONDA,GL160 D,2009,MH1KC11159K216841,KC11E-1218620,10/27/2026,10/27/2029,DINAS SOSIAL,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2585,KTVP 3605,BADAN KEUANGAN DAN ASET DAERAH,SEKRETARIAT DAERAH,R,YAMAHA,55S (T135SEC),2012,MH355S002CK099696,55S099627,12/27/2026,12/27/2027,BADAN KEUANGAN DAN ASET DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2587,KTVP 3132,RSUD RATU AJI PUTRI BOTUNG,RUMAH SAKIT UMUM DAERAH PPU,R,HONDA,NC110A1C AT,2013,MH1JF8117DK908507,JF81E-1902451,12/10/2026,12/10/2028,RSUD,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  2589,KTVP 3876,RSUD RATU AJI PUTRI BOTUNG,DINAS KESEHATAN KAB. PPU,R,HONDA,NF 11B1D MT,2009,MH1JBC1159K226280,JBC1E-1221181,8/26/2026,8/26/2029,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2592,KTVP 3845,RSUD RATU AJI PUTRI BOTUNG,DINAS KESEHATAN KAB. PPU,R,HONDA,NF 11B1D MT,2009,MH1JBC1159K226506,JBC1E-1221300,8/26/2026,8/26/2029,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2593,KTVP 3251,DINAS PERHUBUNGAN,KANTOR DISHUBBUDPAR KAB.PPU,R,YAMAHA,1 PA,2014,MH31PA004EK573382,1PA573727,6/4/2026,6/4/2029,DINAS PERHUBUNGAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2597,,PENGELOLA (BKAD),KANTOR KELURAHAN KAMPUNG BARU,R,YAMAHA,1S7 JUPITER-MX 135 cc,2008,MH31S70058K389180,1S7 - 389852,6/27/2024,6/27/2028,PENGELOLA,RUSAK BERAT,TIDAK AKTIF,LELANG
KTVP 3574,KTV- 3155,DINAS KESEHATAN,DINAS KESEHATAN,R,YAMAHA,5D9 (VEGA ZR),2012,MH35D9205CJ718786,5D9-1718714,11/23/2022,11/23/2022,DINAS KESEHATAN PKM SEPAKU I ,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2604,KTVP 3214,SEKRETARIAT DAERAH,SEKRETARIAT DAERAH,R,YAMAHA,1 PA,2014,MH31PA004EK475883,1PA476185,4/2/2027,4/2/2029,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2605,KTVP 3160,KECAMATAN BABULU,KECAMATAN BABULU,R,YAMAHA,1 DY,2013,MH31DY005DJ207866,1DY-207887,12/13/2026,12/13/2028,KECAMATAN BABULU,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV  2607,KTVP 3465,DINAS PERTANIAN,KANTOR KET.PANGAN DAN PENYULUHAN,R,YAMAHA,2UP,2015,MH3RG1910FK006574,G3E8E0006589,1/11/2027,1/11/2031,DINAS PERTANIAN,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3612,KTV- 3158,DINAS KESEHATAN,DINAS KESEHATAN,R,YAMAHA,5D9 (VEGA ZR),2012,MH35D9205CJ702566,5D9-1702580,11/23/2025,11/23/2027,DINAS KESEHATAN PKM WARU,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 3874,KTV- 2712,DINAS KESEHATAN,DINAS KESEHATAN KAB.PPU,R,HONDA,NF 11B1D M/T,2009,MH1JBC1199K226511,JBC1E-1221295,8/26/2025,8/26/2029,DINAS KESEHATAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2611,KTVP 3285,KELURAHAN PENAJAM,KANTOR KELURAHAN PENAJAM,R,YAMAHA,2 SV,2014,MH32SV00AEJ100605,2SV101017,8/15/2026,8/15/2029,KELURAHAN PENAJAM,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2612,KTVP 3707,DINAS LINGKUNGAN HIDUP,DINAS PEKERJAAN UMUM,R,YAMAHA,50C (T135HC) MT,2011,MH350C001BK228860,50C-229016,1/5/2026,1/5/2027,DINAS LINGKUNGAN HIDUP,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2613,KTV- 2613,DINAS KESEHATAN,DINAS KESEHATAN,R,HONDA,NF100 SE,2008,MH1HB71158K714164,HB71E - 1707341,1/8/2027,1/8/2029,DINAS KESEHATAN PKM BABULU,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2614,KTVP 3792,DINAS KESEHATAN,DINAS KESEHATAN,R,HONDA,NF100 SE,2008,MH1HB71158K681652,HB71E-1678773,4/23/2027,4/23/2029,DINAS KESEHATAN PKM PENAJAM,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2619,KTVP 3295,"BADAN PERENCANAAN, PENELITIAN DAN PENGEMBANGAN",BAPPEDA KAB.PPU,R,YAMAHA,2 BU AT,2014,MH32BU001EJ124413,2BU124428,10/28/2026,10/28/2029,"BADAN PERENCANAAN, PENELITIAN DAN PENGEMBANGAN",BAIK,AKTIF,TERCATAT DI BKAD
KTV  2621,KTVP 3136,RSUD RATU AJI PUTRI BOTUNG,RSUD KAB. PENAJAM PASER UTARA,R,HONDA,NC110A1C A/T,2013,MH1JF8115DK908330,JF81E-1902271,12/10/2026,12/10/2028,RSUD,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  2625,KTVP 3272,"DINAS PENDIDIKAN, PEMUDA DAN OLAHRAGA",DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA PP,R,HONDA,NF12A1CF M/T,2014,MH1JBG118EK169882,JBG1E1169553,7/11/2027,7/11/2029,DISDIKPORA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2627,KTVP 3877,RSUD RATU AJI PUTRI BOTUNG,DINAS KESEHATAN KAB. PPU,R,HONDA,NF 11B1D M/T,2009,MH1JBC1189K182081,JBC1E-1176462,8/26/2026,8/26/2029,RSUD,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2629,KTVP 3229,SEKRETARIAT DAERAH,SEKRETARIAT DAERAH KAB. PPU,R,YAMAHA,1 LB,2014,MH31LB00AEJ129992,1LB-130029,4/30/2027,4/30/2029,SEKRETARIAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2630,KTVP 3284,DINAS PERIKANAN,DINAS KELAUTAN DAN PERIKANAN,R,YAMAHA,45P (BYSON),2014,MH354P004EK286467,54P296464,8/11/2026,8/11/2029,DINAS PERIKANAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2631,KTVP 3297,"BADAN PERENCANAAN, PENELITIAN DAN PENGEMBANGAN",BAPPEDA,R,YAMAHA,2BU,2014,MH32BU001EJ132355,2BU132369,10/29/2026,10/29/2029,"BADAN PERENCANAAN, PENELITIAN DAN PENGEMBANGAN",BAIK,AKTIF,TERCATAT DI BKAD
KTV  2637, ,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PERTANAHAN",DINAS PERUMAHAN KAWASAN PERMUKIMAN DAN P,R,YAMAHA,B6H-AI A/T,2024,MH3SG5680RK237068,G3L8E2214394,10/1/2026,10/1/2029,DINAS PERUMAHAN KAWASAN PERMUKIMAN DAN PERTAMANAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2638, ,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PERTANAHAN",DINAS PERUMAHAN KAWASAN PERMUKIMAN DAN P,R,YAMAHA,B6H-AI A/T,2024,MH3SG5680RK237435,G3L8E2220877,10/1/2026,10/1/2029,DINAS PERUMAHAN KAWASAN PERMUKIMAN DAN PERTAMANAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2639, ,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PERTANAHAN",DINAS PERUMAHAN KAWASAN PEMUKIMAN DAN PE,R,YAMAHA,BEJ A/T,2024,MH3SEJ710RJ319910,E33WE0371031,10/7/2026,10/7/2029,DINAS PERUMAHAN KAWASAN PERMUKIMAN DAN PERTAMANAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2640, ,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PERTANAHAN",DINAS PERUMAHAN KAWASAN PERMUKIMAN DAN P,R,YAMAHA,BEJ A/T,2024,MH3SEJ710RJ327336,E33WE0381057,10/7/2026,10/7/2029,DINAS PERUMAHAN KAWASAN PERMUKIMAN DAN PERTAMANAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2641, ,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PERTANAHAN",DINAS PERUMAHAN KAWASAN PEMUKIMAN DAN PE,R,YAMAHA,BEJ A/T,2024,MH3SEJ710RJ327981,E33WE0382001,10/7/2026,10/7/2029,DINAS PERUMAHAN KAWASAN PERMUKIMAN DAN PERTAMANAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2642, ,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PERTANAHAN",DINAS PERUMAHAN KAWASAN PERMUKIMAN DAN P,R,YAMAHA,BJM-L A/T,2024,MH3SEK610RJ132975,E34KE0132979,10/7/2026,10/7/2029,DINAS PERUMAHAN KAWASAN PERMUKIMAN DAN PERTAMANAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2643, ,"DINAS PERUMAHAN, KAWASAN PERMUKIMAN DAN PERTANAHAN",DINAS PERUMAHAN KAWASAN PERMUKIMAN DAN P,R,YAMAHA,BTD A/T,2024,MH3SG9220RK013132,G3V4E0019745,10/7/2026,10/7/2029,DINAS PERUMAHAN KAWASAN PERMUKIMAN DAN PERTAMANAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2645,KTVP 3291,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,BADAN KEPEGAWAIAN DAERAH,R,YAMAHA,2 SV,2014,MH32SV00AEJ173103,2SV173105,10/13/2026,10/13/2029, BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2646,KTVP 3292,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,BADAN KEPEGAWAIAN DAERAH,R,YAMAHA,2 SV,2014,MH32SV00AEJ154229,2SV154303,10/13/2026,10/13/2029, BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2647,KTVP 3293,BADAN PENANGGULANGAN BENCANA DAERAH,KANTOR KESATUAN BANGSA DAN POLITIK KAB.P,R,KAWASAKI,LX150D (D TRACKER),2014,MH4LX150DEJP04497,LX150CEPH0314,10/14/2026,10/14/2029,BADAN PENANGGULANGAN BENCANA DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2648,,DINAS KESEHATAN,DINAS KESEHATAN,R,HONDA,NF100,2008,MH1HB71178K697058,HB71E - 1684644,4/23/2027,4/23/2029,DINAS KESEHATAN PKM BABULU,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV  2649,KTVP 3294,BADAN PENANGGULANGAN BENCANA DAERAH,KANTOR KESATUAN BANGSA DAN POLITIK KAB.P,R,KAWASAKI,LX150D (D TRACKER),2014,MH4LX150DEJP04499,LC150CEPH0313,10/14/2026,10/14/2029,BADAN PENANGGULANGAN BENCANA DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2650,KTVP 3943,DINAS PERHUBUNGAN,DISHUBBUDPAR,R,SUZUKI,EN 125 A,2009,MH8EN125A9J603960,F405-ID-604048,12/2/2025,12/2/2029,DINAS PERHUBUNGAN,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV  2651,KTV- 2651,DINAS KESEHATAN,DINAS KESEHATAN,R,HONDA,NF100 SE,2008,MH1HB71168K548642,HB71E - 1545189,4/23/2027,4/23/2029,DINAS KESEHATAN PKM SEBAKUNG JAYA,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV  2652,KTVP 3869,DINAS KESEHATAN,DINAS KESEHATAN KAB. PPU,R,HONDA,NF 11B1D MT,2009,MH1JBC1119K186716,JBC1E-1185421,8/26/2026,8/26/2029,DINAS KESEHATAN PKM PENAJAM,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2653, ,INSPEKTORAT DAERAH,INSPEKTORAT DAERAH KABUPATEN PENAJAM PAS,R,YAMAHA,BPN-L A/T,2024,MH3SG8840RJ024420,G3U5E0033580,10/17/2026,10/17/2029,INSPEKTORAT,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  2654, ,INSPEKTORAT DAERAH,INSPEKTORAT DAERAH KABUPATEN PENAJAM PAS,R,YAMAHA,BPN-L A/T,2024,MH3SG8840RJ023140,G3U5E0031460,10/17/2026,10/17/2029,INSPEKTORAT,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  2655,,DINAS KESEHATAN,DINAS KESEHATAN,R,HONDA,NF100 SE,2008,MH1HB711X8K693392,HB71E - 1688687,5/12/2026,5/12/2029,DINAS KESEHATAN PKM BABULU,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2656, ,INSPEKTORAT DAERAH,INSPEKTORAT DAERAH KABUPATEN PENAJAM PAS,R,YAMAHA,BPN-L A/T,2024,MH3SG8840RJ023159,G3U5E0031480,10/17/2026,10/17/2029,INSPEKTORAT,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  2657, ,INSPEKTORAT DAERAH,INSPEKTORAT DAERAH KABUPATEN PENAJAM PAS,R,YAMAHA,BPN-L A/T,2024,MH3SG8840RJ023148,G3U5E0031468,10/17/2026,10/17/2029,INSPEKTORAT,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  2658, ,INSPEKTORAT DAERAH,INSPEKTORAT DAERAH KABUPATEN PENAJAM PAS,R,YAMAHA,BPN-L A/T,2024,MH3SG8840RJ023142,G3U5E0031462,10/17/2026,10/17/2029,INSPEKTORAT,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  2659,,DINAS KESEHATAN,DINAS KESEHATAN,R,HONDA,NF100 SE,2008,MH1HB71188K651626,HB71E - 1644528,5/12/2026,5/12/2029,DINAS KESEHATAN PKM BABULU,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2660, ,INSPEKTORAT DAERAH,INSPEKTORAT DAERAH KABUPATEN PENAJAM PAS,R,YAMAHA,BPN-L A/T,2024,MH3SG8840RJ019461,G3U5E0025261,10/17/2026,10/17/2029,INSPEKTORAT,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  2661, ,INSPEKTORAT DAERAH,INSPEKTORAT DAERAH KABUPATEN PENAJAM PAS,R,YAMAHA,BPN-L A/T,2024,MH3SG8840RJ016573,G3U5E0021173,10/17/2026,10/17/2029,INSPEKTORAT,RUSAK BERAT,TIDAK AKTIF,RUSAK BERAT
KTV  2663, ,INSPEKTORAT DAERAH,INSPEKTORAT DAERAH KABUPATEN PENAJAM PAS,R,YAMAHA,BPN-L A/T,2024,MH3SG8840RJ016565,G3U5E0021167,10/17/2026,10/17/2029,INSPEKTORAT,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  2664, ,INSPEKTORAT DAERAH,INSPEKTORAT DAERAH KABUPATEN PENAJAM PAS,R,YAMAHA,BKU-S A/T,2024,MH3SEJ920RJ017313,E31XE0076438,10/17/2026,10/17/2029,INSPEKTORAT DAERAH,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2665,KTVP 3920,RSUD RATU AJI PUTRI BOTUNG,RUMAH SAKIT UMUM DAERAH,R,HONDA,NF125 TD,2009,MH1JB81159K470315,JB81E-1465865,10/29/2026,10/29/2029,RSUD,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTVP 9917, ,DINAS KESEHATAN,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,C,HYUNDAI,STAREX 2.5 DIESEL MT,2018,MHXMF31JLJJ001200,D4CBH447899,12/17/2025,12/17/2028,RSUD SEPAKU,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2672,,DINAS KESEHATAN,DINAS KESEHATAN,R,HONDA,NF100 SE,2008,MH1HB71188K675652,HB71E - 1661228,5/12/2027,5/12/2029,DINAS KESEHATAN PKM BABULU,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2673,,DINAS KESEHATAN,DINAS KESEHATAN,R,HONDA,NF100 SE,2008,MH1HB71188K659872,HB71E - 1659476,5/12/2026,5/12/2029,DINAS KESEHATAN PKM BABULU,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV  2676,KTVP 3954,DINAS PERTANIAN,DINAS PERTANIAN KAB.PPU,R,HONDA,GL15C21A07 MT,2014,MH1KC6114EK015553,KC61E1015645,7/11/2026,7/11/2029,DINAS PERTANIAN,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2677,KTVP 3914,RSUD RATU AJI PUTRI BOTUNG,RUMAH SAKIT UMUM DAERAH,R,HONDA,NF125 TD,2009,MH1JB81179K470395,JB81E-1496866,10/29/2026,10/29/2029,RSUD,BAIK,AKTIF,TIDAK ADA KETERANGAN
KTV  2683,KTV- 2683,DINAS PERTANIAN,DINAS PERTANIAN,R,SUZUKI,EN 125 A,2008,MH8EN125A8J598225,F405 - ID - 598359,6/23/2027,6/23/2029,DINAS PERTANIAN,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV  2684,KTV- 2684,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,INSPEKTORAT KAB.PPU,R,HONDA,NF 11B1D MT,2009,MH1JBC2169K107815,JBC2E - 1105461,8/26/2027,8/26/2029,DINAS PU DAN PENATAAN RUANG,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2686,KTV- 2686,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,INSPEKTORAT KAB.PPU,R,HONDA,NF 11B1D MT,2009,MH1JBC21X9K109793,JBC2E - 1107346,8/26/2025,8/26/2029,DINAS PU DAN PENATAAN RUANG,HILANG,TIDAK AKTIF,HILANG
KTV  2688,KTVP 3288,SEKRETARIAT DPRD,SEKRETARIAT DPRD KAB. PPU,R,HONDA,GL15C21A07 MT,2014,MH1KC611XEK024841,KC61E1024836,10/1/2026,10/1/2029,SEKRETARIAT DPRD,RUSAK BERAT,TIDAK AKTIF,TERCATAT DI BKAD
KTV  2689,KTVP 3935,KECAMATAN BABULU,BEND. PENGELUARAN KANTOR CAMAT BABULU,R,YAMAHA,B65,2019,MH3SG4610KJ231036,G3J1E-0396852,11/25/2026,11/25/2029,KECAMATAN BABULU,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2695, ,KECAMATAN BABULU,KECAMATAN BABULU KABUPATEN PENAJAM PASER,R,YAMAHA,B3W-S A/T,2024,MH3SEG720RJ097797,E32XE0146801,11/11/2026,11/11/2029,KECAMATAN BABULU,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2696, ,KECAMATAN BABULU,KECAMATAN BABULU KABUPATEN PENAJAM PASER,R,YAMAHA,2PV R M/T,2024,MH3UG0750RK222511,G3E6E0762956,11/11/2026,11/11/2029,KECAMATAN BABULU,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2698, ,KECAMATAN BABULU,KECAMATAN BABULU KABUPATEN PENAJAM PASER,R,YAMAHA,BBP-A A/T,2024,MH3SG6420RJ076232,G3P4E0240276,11/11/2026,11/11/2029,KECAMATAN BABULU,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2703,KTVP 3289,SEKRETARIAT DPRD,SEKRETARIAT DPRD KAB.PPU,R,HONDA,GL15C21A07 M/T,2014,MH1KC6110EK030843,KC61E1030674,10/1/2026,10/1/2029,SEKRETARIAT DPRD,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2704, ,KELURAHAN PANTAI LANGO,KECAMATAN PENAJAM KABUPATEN PENAJAM PASE,R,HONDA,F1C02N46L0 A/T,2024,MH1JM0312RK687166,JM03E1687083,11/14/2026,11/14/2029,KELURAHAN PANTAI LANGO,BAIK,AKTIF,TERCATAT DI BKAD
KTVP 9918, ,DINAS KESEHATAN,PEMERINTAH KABUPATEN PENAJAM PASER UTARA,C,,,2018,MHXMF31JLJJ001186,D4CBH447904,12/17/2025,12/17/2028,RSUD SEPAKU,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2706, ,DINAS LINGKUNGAN HIDUP,DINAS LINGKUNGAN HIDUP KABUPATEN PENAJAM,R,HONDA,F1C02N46L0 A/T,2024,MH1JM0423RK198296,JM04E-2197912,11/21/2026,11/21/2029,DINAS LINGKUNGAN HIDUP,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2707, ,DINAS LINGKUNGAN HIDUP,DINAS LINGKUNGAN HIDUP KABUPATEN PENAJAM,R,HONDA,F1C02N46L0 A/T,2024,MH1JM0425RK078855,JM04E-2078779,11/21/2026,11/21/2029,DINAS LINGKUNGAN HIDUP,BAIK,AKTIF,TERCATAT DI BKAD
KTV  2708, ,DINAS KOMUNIKASI DAN INFORMATIKA,"DINAS KOMUNIKASI DAN INFORMASI, STATISTI",R,HONDA,F1C02N46L0 A/T,2024,MH1JM0310RK776962,JM03E-1776876,11/21/2026,11/21/2029,"DINAS KOMUNIKASI DAN INFORMATIKA, STATISTIK DAN PERSANDIAN",BAIK,AKTIF,TERCATAT DI BKAD
